,Fall,Major Name,Male,Female
273,1981,HR&FS GEN,0,8
274,1981,HU DEV&FAM,0,13
275,1981,History,60,24
276,1981,Horticulture,33,26
277,1981,INST MGMT,1,7
278,1981,INT DSGN,9,159
279,1981,Industrial Agriculture,57,16
280,1981,Industrial Design,48,35
281,1981,Industrial Engineering,135,53
282,1981,Italian,2,3
283,1981,Journalism,23,22
284,1981,Kinesiology,144,140
285,1981,LAB&IN REL,40,24
286,1981,LAS TCH MATH,0,1
287,1981,Landscape Architecture,97,62
288,1981,Law,451,194
289,1981,Leisure Studies,26,22
290,1981,Library & Information Science,34,114
291,1981,Linguistics,41,32
292,1981,MARKETING,85,101
293,1981,METAL ENGR,162,34
294,1981,MKT TEXT&A,2,96
295,1981,MOTOR DEV,7,26
296,1981,MOTOR P&SP,8,17
297,1981,MUS-VOICE,11,29
298,1981,MUSIC-COMP,13,5
299,1981,MUSIC-INST,50,55
300,1981,Mathematics,123,28
301,1981,Mechanical Agriculture,49,0
302,1981,Mechanical Engineering,939,82
303,1981,Microbiology,33,28
304,1981,Molecular & Integrative Physi,41,19
305,1981,Music,142,99
306,1981,Music Education,134,171
307,1981,Music History,2,4
308,1981,News-Editorial,45,77
309,1981,Nuclear Engineering,184,13
310,1981,Nutritional Sciences,14,29
311,1981,ORN HORT,61,44
312,1981,OUTDR REC,15,22
313,1981,PERFORM ST,11,10
314,1981,PLANT PATH,30,10
315,1981,PRE-JOURN,27,55
316,1981,PRE-MED,13,9
317,1981,PROG MANAG,39,63
318,1981,PUB ADMIN,8,4
319,1981,Philosophy,24,5
320,1981,Physics,325,31
321,1981,Plant Biology,15,11
322,1981,Political Science,28,14
323,1981,Professional Pilot,9,3
324,1981,Psychology,83,78
325,1981,REST MGMT,33,19
326,1981,SCH HEALTH,4,11
327,1981,SOC SCI SP,3,2
328,1981,SOCIAL SCI,1,1
329,1981,Secondary Education,8,12
330,1981,Slavic Languages & Literature,4,10
331,1981,Social Work,57,259
332,1981,Sociology,23,18
333,1981,Spanish,16,33
334,1981,Special Education,18,110
335,1981,Speech & Hearing Science,11,128
336,1981,Speech Communication,31,29
337,1981,Statistics,7,3
338,1981,TCH BIOL,8,9
339,1981,TCH CS,0,3
340,1981,TCH DANCE,0,7
341,1981,TCH ENGL,9,51
342,1981,TCH GEN SCIENCE,2,1
343,1981,TCH KINES,4,6
344,1981,TCH LIFE SCI,3,6
345,1981,TCH PHYS SCI,1,1
346,1981,TCH SOC ST,25,14
347,1981,TCH SPEECH,3,7
348,1981,TECH ED SP,46,21
349,1981,TEXT-APPRL,0,11
350,1981,THER REC,7,71
351,1981,Teaching of Chemistry,5,4
352,1981,Teaching of English Sec Lang,14,62
353,1981,Teaching of French,1,11
354,1981,Teaching of German,1,6
355,1981,Teaching of Latin,1,1
356,1981,Teaching of Mathematics,6,14
357,1981,Teaching of Physics,0,1
358,1981,Teaching of Spanish,3,25
359,1981,Theatre,78,77
360,1981,Theoretical & Applied Mechans,45,5
361,1981,UNASSIGNED,344,325
362,1981,UNCLASS,98,188
363,1981,Urban Planning,57,52
364,1981,VMS - Veterinary Biosciences,19,9
365,1981,VMS - Veterinary Pathobiology,19,10
366,1981,VMS-Veterinary Clinical Medcne,9,6
367,1981,VOC H E ED,0,27
368,1981,Veterinary Medical Science,11,6
369,1981,Veterinary Medicine,199,151
370,1981,Wood Sciences,5,0
371,1982,Accountancy,862,692
372,1982,Advertising,78,170
373,1982,Aero & Astro Engineering,443,38
374,1982,Agr & Environmental Cmc & Educ,4,0
375,1982,Agricultural & Applied Econ,322,64
376,1982,Agricultural Communications,30,56
377,1982,Agricultural Education,20,5
378,1982,Agricultural Engineering,190,16
379,1982,Agricultural Sciences,50,18
380,1982,Agronomy,132,47
