Fall,College,Major Name,Total
1981,ACES,HOME MGMT,1
1981,LAS,LAS TCH MATH,1
1981,ACES,Mechanical Agriculture,1
1981,Engineering,Nuclear Engineering,1
1981,ACES,ORN HORT,1
1981,LAS,Psychology,1
1981,LAS,Classics,2
1981,ACES,Teaching of Chemistry,2
1981,ACES,Teaching of German,2
1981,ACES,Teaching of Latin,2
1981,Engineering,ENGR MECH,2
1981,Engineering,ENGR PHYS,2
1981,Engineering,ENGR PHYS,2
1981,ACES,HR&FS,2
1981,Media,Journalism,2
1981,LAS,SOCIAL SCI,2
1981,Education,TCH PHYS SCI,2
1981,ACES,Animal Sciences,3
1981,Engineering,CER ENGR,3
1981,Engineering,CERAMICS,3
1981,ACES,HR&FS A&ID,3
1981,Engineering,Industrial Engineering,3
1981,Law,Law,3
1981,Engineering,Mechanical Engineering,3
1981,Engineering,TCH CS,3
1981,Education,TCH GEN SCIENCE,3
1981,Engineering,Agricultural Engineering,4
1981,Engineering,Computer Engineering,4
1981,ACES,Agr & Environmental Cmc & Educ,5
1981,Fine and Applied Arts,Architecture,5
1981,LAS,Classics,5
1981,ACES,Teaching of French,5
1981,ACES,Teaching of German,5
1981,LAS,Genetics,5
1981,LAS,Italian,5
1981,Engineering,Nuclear Engineering,5
1981,Applied Health Sciences,SOC SCI SP,5
1981,ACES,Wood Sciences,5
1981,Engineering,Civil Engineering,6
1981,Engineering,Computer Science,6
1981,Fine and Applied Arts,Music History,6
1981,LAS,TCH ENGL,6
1981,ACES,Application Design,7
1981,LAS,Chemical Physics,7
1981,Education,EDUC IDISC,7
1981,ACES,Speech & Hearing Science,7
1981,ACES,Teaching of Chemistry,7
1981,ACES,Teaching of French,7
1981,Business,Teaching of Spanish,7
1981,ACES,GEN H ECON,7
1981,Fine and Applied Arts,TCH DANCE,7
1981,ACES,HR&FS GEN,8
1981,ACES,INST MGMT,8
1981,Engineering,Industrial Engineering,9
1981,Education,TCH LIFE SCI,9
1981,Aviation,Avionics,10
1981,ACES,Statistics,10
1981,Engineering,Electrical Engineering,10
1981,Applied Health Sciences,TCH KINES,10
1981,LAS,TCH SPEECH,10
1981,LAS,Classical Philology,11
1981,ACES,TEXT-APPRL,11
1981,Engineering,Computer Engineering,12
1981,Engineering,ENV SCI,12
1981,Engineering,GEN ENGR,12
1981,Applied Health Sciences,HEALTH&SAF,12
1981,Aviation,Professional Pilot,12
1981,LAS,PUB ADMIN,12
1981,Fine and Applied Arts,Art and Design,13
1981,ACES,FAM&CON EC,13
1981,ACES,HU DEV&FAM,13
1981,Engineering,METAL ENGR,13
1981,LAS,TCH SOC ST,13
1981,Engineering,Aero & Astro Engineering,14
1981,Fine and Applied Arts,Dance,14
1981,Business,Theatre,14
1981,ACES,EXT EDUC,14
1981,LAS,Slavic Languages & Literature,14
1981,Fine and Applied Arts,Art and Design,15
1981,Engineering,Civil Engineering,15
1981,LAS,Astronomy,15
1981,Applied Health Sciences,SCH HEALTH,15
1981,Education,TCH ENGL,15
1981,VetMed,VMS-Veterinary Clinical Medcne,15
1981,ACES,Food Science & Human Nutrition,17
1981,LAS,TCH BIOL,17
1981,VetMed,Veterinary Medical Science,17
1981,LAS,Asian Studies,18
1981,ACES,Food Science & Human Nutrition,18
1981,Engineering,Industrial Engineering,18
1981,Fine and Applied Arts,MUSIC-COMP,18
1981,Fine and Applied Arts,Crafts,19
1981,ACES,Teaching of Mathematics,19
1981,ACES,Agricultural Education,20
1981,Engineering,Computer Science,20
1981,ACES,Secondary Education,20
1981,Engineering,GEN ENGR,20
1981,Law,Law,20
1981,Business,Teaching of Spanish,21
1981,ACES,Food Science & Human Nutrition,21
1981,Fine and Applied Arts,PERFORM ST,21
1981,LAS,Atmospheric Sciences,22
1981,LAS,German,22
1981,LAS,PRE-MED,22
1981,Engineering,Agricultural Engineering,23
1981,ACES,Forestry,23
1981,ACES,Speech & Hearing Science,24
1981,LAS,Biophysics & Computnl Biology,25
1981,Education,BUS EDUC,25
1981,Applied Health Sciences,MOTOR P&SP,25
1981,Engineering,GEN ENGR,26
1981,ACES,Horticulture,26
1981,LAS,Plant Biology,26
1981,Education,TCH SOC ST,26
1981,Fine and Applied Arts,Theatre,26
1981,Fine and Applied Arts,Dance,27
1981,ACES,VOC H E ED,27
1981,LAS,Entomology,28
1981,ACES,Food Science & Human Nutrition,28
1981,VetMed,VMS - Veterinary Biosciences,28
1981,Fine and Applied Arts,Art Education,29
1981,Engineering,ENV ENGR,29
1981,LAS,Philosophy,29
1981,VetMed,VMS - Veterinary Pathobiology,29
1981,Applied Health Sciences,Biology,30
1981,Education,Special Education,30
1981,Fine and Applied Arts,Architecture,31
1981,ACES,DAIRY SCI,33
1981,LAS,French,33
1981,ACES,Horticulture,33
1981,Applied Health Sciences,MOTOR DEV,33
1981,ACES,DAIRY SCI,34
1981,ACES,DIETETICS,34
1981,Engineering,CER ENGR,35
1981,Fine and Applied Arts,Art History,36
1981,Business,Theatre,36
1981,Fine and Applied Arts,Landscape Architecture,36
1981,Media,Advertising,37
1981,Applied Health Sciences,OUTDR REC,37
1981,Media,Communication,38
1981,Media,Broadcast Journalism,38
1981,Applied Life Sciences,Community Health,39
1981,Fine and Applied Arts,Art Education,39
1981,LAS,TCH ENGL,39
1981,Fine and Applied Arts,Art History,40
1981,ACES,H DVL-FAM,40
1981,Fine and Applied Arts,MUS-VOICE,40
1981,ACES,PLANT PATH,40
1981,Engineering,Aero & Astro Engineering,41
1981,LAS,Sociology,41
1981,LAS,Political Science,42
1981,LAS,Geography,43
1981,Media,Journalism,43
1981,ACES,Nutritional Sciences,43
1981,LAS,Comparative Literature,44
1981,Engineering,ENGR MECH,44
1981,ACES,GEN AGR,47
1981,ACES,Speech & Hearing Science,48
1981,Engineering,Electrical Engineering,48
1981,Business,Finance,48
1981,Applied Health Sciences,Leisure Studies,48
1981,ACES,Mechanical Agriculture,48
1981,ACES,Spanish,49
1981,LAS,HR&FS,49
1981,Engineering,Theoretical & Applied Mechans,50
1981,LAS,Geology,51
1981,ACES,REST MGMT,52
1981,ACES,Food Science & Human Nutrition,54
1981,Fine and Applied Arts,Urban Planning,54
1981,Fine and Applied Arts,Urban Planning,55
1981,Education,Early Childhood Education,57
1981,ACES,Speech & Hearing Science,60
1981,LAS,Molecular & Integrative Physi,60
1981,LAS,Speech Communication,60
1981,Fine and Applied Arts,Art and Design,61
1981,LAS,Microbiology,61
1981,Education,ED POL ST,63
1981,LAS,Geology,63
1981,LAS,Anthropology,64
1981,Labor and Industrial Relations,LAB&IN REL,64
1981,Engineering,Nuclear Engineering,64
1981,ACES,Food Science & Human Nutrition,66
1981,Education,TECH ED SP,67
1981,Business,Economics,70
1981,ACES,Physics,70
1981,Fine and Applied Arts,Music Education,70
1981,Fine and Applied Arts,UNCLASS,71
1981,ACES,Agricultural Communications,72
1981,ACES,Agricultural & Applied Econ,73
1981,ACES,Industrial Agriculture,73
1981,LAS,Linguistics,73
1981,Engineering,Agricultural Engineering,74
1981,ACES,Agricultural Sciences,75
1981,ACES,Teaching of English Sec Lang,76
1981,Applied Health Sciences,Kinesiology,76
1981,Applied Health Sciences,THER REC,78
1981,Business,Computer Science,79
1981,Business,Theatre,79
1981,Applied Health Sciences,HLTH EDUC,80
1981,Engineering,Mechanical Engineering,82
1981,LAS,PRE-JOURN,82
1981,Fine and Applied Arts,Industrial Design,83
1981,LAS,Biochemistry,84
1981,LAS,History,84
1981,ACES,Agronomy,88
1981,ACES,Agricultural Engineering,89
1981,ACES,Animal Sciences,90
1981,Engineering,METAL ENGR,90
1981,Engineering,METAL ENGR,93
1981,LAS,Chemical Engineering,94
1981,Engineering,ENGR PHYS,94
1981,Social Work,Social Work,95
1981,ACES,Forestry,96
1981,Engineering,CER ENGR,97
1981,Fine and Applied Arts,Art and Design,98
1981,ACES,MKT TEXT&A,98
1981,Education,Special Education,98
1981,LAS,English,101
1981,Applied Health Sciences,PROG MANAG,102
1981,ACES,ORN HORT,104
1981,Fine and Applied Arts,MUSIC-INST,105
1981,Education,ED SEC&CON,110
1981,ACES,Agronomy,113
1981,Business,Economics,113
1981,Education,EDUC GEN,113
1981,Education,Educ Voc Tech,115
1981,Media,News-Editorial,122
1981,Fine and Applied Arts,Landscape Architecture,123
1981,Engineering,Nuclear Engineering,127
1981,Education,Ed Organization and Leadership,129
1981,Engineering,Mechanical Engineering,130
1981,Education,EDUC ELEMENTARY,141
1981,Aviation,Air Systems,143
1981,Education,Educational Psychology,148
1981,iSchool,Library & Information Science,148
1981,ACES,HOME ECON,151
1981,LAS,Mathematics,151
1981,ACES,CORE CURR,155
1981,Engineering,Industrial Engineering,158
1981,LAS,Psychology,160
1981,LAS,Biology,161
1981,Fine and Applied Arts,Graphic Design,165
1981,Business,Computer Science,167
1981,ACES,INT DSGN,168
1981,Business,Accountancy,172
1981,Fine and Applied Arts,Architecture,177
